BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,Id
1,GRAMERCY,09 COOPS - WALKUP APARTMENTS               ,2C,898,52, ,C6,"206 EAST 18TH STREET, 6", ,10003,0,0,0, -  , -  ,1920,690000,3088
3,FLATLANDS,10 COOPS - ELEVATOR APARTMENTS             ,2,7869,11, ,D4,"2239 TROY AVENUE, 6B", ,11234,0,0,0,0,0,1953,140000,39352
1,UPPER WEST SIDE (96-116),10 COOPS - ELEVATOR APARTMENTS             ,2,1892,49, ,D4,"300 WEST 108TH STREET, 7D", ,10025,0,0,0, -  , -  ,1924,950000,17690
5,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,208,57, ,A1,16 WEST STREET, ,10310,1,0,1,2500,1407,1899,195000,83693
2,MOUNT HOPE/MOUNT EDEN,02 TWO FAMILY DWELLINGS                    ,1,2849,63, ,B1,1728 TOWNSEND AVENUE, ,10453,2,0,2,3117,4032,1920,352000,21813
3,BUSHWICK,02 TWO FAMILY DWELLINGS                    ,1,3294,14, ,B1,938 BUSHWICK AVENUE, ,11221,2,0,2,1857,2400,1901,1250000,31459
3,BEDFORD STUYVESANT,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,1995,1103, ,R1,110 PUTNAM AVENUE,3,11238,1,0,1,0,0,1899,925000,27773
4,HOWARD BEACH,03 THREE FAMILY DWELLINGS                  ,1,14207,51, ,C0,16412 95TH STREET, ,11414,3,0,3,3557,3744,1970,680000,63270
2,BEDFORD PARK/NORWOOD,02 TWO FAMILY DWELLINGS                    ,1,3332,61, ,B3,3083 DECATUR AVENUE, ,10467,2,0,2,2750,1536,1915,120000,18867
4,BAYSIDE,01 ONE FAMILY DWELLINGS                    ,1,6152,24, ,A2,36-36 204TH   STREET, ,11361,1,0,1,4387,1104,1950,800000,50991
3,WYCKOFF HEIGHTS,27 FACTORIES                               ,4,3319,27, ,F4,326 MENAHAN STREET, ,11237,0,1,1,3975,4500,1931,3425000,49393
1,SOUTHBRIDGE,13 CONDOS - ELEVATOR APARTMENTS            ,2,100,1092, ,R4,150 NASSAU STREET,12B,10038,1,0,1, -  , -  ,0,3380000,11015
1,UPPER WEST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1152,1108, ,R4,243 WEST 60TH   STREET,2C,10023,1,0,1, -  , -  ,2007,1255000,15849
3,FLATBUSH-NORTH,02 TWO FAMILY DWELLINGS                    ,1,4800,8, ,B3,551 ALBANY AVENUE, ,11203,2,0,2,2020,1008,1899,475000,38870
4,ELMHURST,04 TAX CLASS 1 CONDOS                      ,1A,1310,1118, ,R3,41-20 71ST   STREET,3D,11377,1,0,1, -  , -  ,1987,390000,55000
4,FLUSHING-NORTH,43 CONDO OFFICE BUILDINGS                  ,4,4978,1383, ,RB,38-08 UNION STREET,12B,11354,0,0,1, -  , -  ,2014,2199583,58944
3,BUSHWICK,22 STORE BUILDINGS                         ,4,3279,2, ,K4,427 KNICKERBOCKER AVENUE, ,11237,0,1,1,2500,4470,1931,6000000,32090
1,WASHINGTON HEIGHTS UPPER,10 COOPS - ELEVATOR APARTMENTS             ,2,2180,614, ,D4,"720 FORT WASHINGTON AVEN, 2D", ,10040,0,0,0, -  , -  ,1939,450000,18226
4,ST. ALBANS,01 ONE FAMILY DWELLINGS                    ,1,11047,8, ,A5,115-33 205TH STREET, ,11412,1,0,1,2000,900,1940,210000,74203
1,CIVIC CENTER,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,177,1002, ,R1,53 LEONARD STREET,1E,10013,1,0,1, -  , -  ,0,3670000,1414
2,PARKCHESTER,13 CONDOS - ELEVATOR APARTMENTS            ,2,3937,2778, ,R4,1545 ARCHER ROAD,MF,10462,1,0,1,0,0,0,178000,22007
5,STAPLETON,01 ONE FAMILY DWELLINGS                    ,1,542,24, ,A1,9 PURROY PLACE, ,10304,1,0,1,5952,1544,1920,180000,82903
3,WILLIAMSBURG-CENTRAL,27 FACTORIES                               ,4,2260,32, ,F5,361 FLUSHING AVENUE, ,11205,0,1,1,6773,3800,1973,11150000,47799
4,FLUSHING-NORTH,10 COOPS - ELEVATOR APARTMENTS             ,2,5050,31, ,D4,"144-70 41ST AVENUE, 3C", ,11355,0,0,0, -  , -  ,1962,260000,57594
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4803,44, ,A5,2724 GUNTHER AVENUE, ,10469,1,0,1,1520,1088,1955,375000,18463
5,CASTLETON CORNERS,01 ONE FAMILY DWELLINGS                    ,1,722,20, ,A1,16 QUINLAN AVENUE, ,10314,1,0,1,4320,2350,1925,555000,77189
2,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4947,5, ,B3,2209 LIGHT STREET, ,10466,2,0,2,3300,1649,1925,470000,18646
2,MORRIS PARK/VAN NEST,02 TWO FAMILY DWELLINGS                    ,1,4200,26, ,B3,1819 YATES AVENUE, ,10461,2,0,2,3325,2075,1925,518000,21167
3,CARROLL GARDENS,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,337,1201, ,R1,179 UNION STREET,1,11231,1,0,1,0,0,1900,1374637,33079
5,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,1,4043,19, ,A2,41 MILTON AVENUE, ,10306,1,0,1,2640,924,1930,425000,80526
4,ROSEDALE,05 TAX CLASS 1 VACANT LAND                 ,1B,13468,15, ,V0,220TH   STREET, ,0,0,0,0,2000, -  ,0,410000,71665
4,MIDDLE VILLAGE,02 TWO FAMILY DWELLINGS                    ,1,3002,6, ,B1,64-02 77TH   PLACE, ,11379,2,0,2,2500,2919,1950,990000,67405
1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1512,123, ,D4,"135 EAST 83RD, 12A", ,10028,0,0,0, -  , -  ,1961,980000,13844
4,SO. JAMAICA-BAISLEY PARK,02 TWO FAMILY DWELLINGS                    ,1,12050,249, ,B3,123-31 146TH   STREET, ,11436,2,0,2,2358,1552,1925,250000,72139
4,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS                    ,1,10226,34, ,A1,169-04 104TH   AVENUE, ,11433,1,0,1,2266,1216,1920,25000,72399
4,OZONE PARK,01 ONE FAMILY DWELLINGS                    ,1,9012,37, ,A1,95-21 81ST   STREET, ,11416,1,0,1,2500,1356,1925,350000,68063
5,HUGUENOT,01 ONE FAMILY DWELLINGS                    ,1,6843,114, ,A2,712 RENSSELAER AVENUE, ,10312,1,0,1,4500,2242,1970,630000,79251
5,GREAT KILLS,01 ONE FAMILY DWELLINGS                    ,1,5442,139, ,A9,245 DOANE AVENUE, ,10308,1,0,1,2300,1392,1977,460000,78652
5,CLOVE LAKES,01 ONE FAMILY DWELLINGS                    ,1,302,11, ,A2,29 HOWE STREET, ,10310,1,0,1,11400,1296,1950,1100000,77286
4,CORONA,07 RENTALS - WALKUP APARTMENTS             ,2B,1617,29, ,C1,99-21 43RD   AVENUE, ,11368,9,0,9,2500,7517,1931,2000000,53822
2,CASTLE HILL/UNIONPORT,02 TWO FAMILY DWELLINGS                    ,1,3768,4, ,B1,1208 WHITE PLAINS ROAD, ,10472,2,0,2,2017,2040,1930,525000,19538
2,RIVERDALE,32 HOSPITAL AND HEALTH FACILITIES          ,4,5841,1945, ,I7,6355 BROADWAY, ,10471,0,1,1,35525,66000,1961,15000000,23319
4,LONG ISLAND CITY,13 CONDOS - ELEVATOR APARTMENTS            , ,268,1011, , ,27-21 44TH DRIVE, ,11101,0,0,0, -  , -  ,0,1160805,66411
1,HARLEM-CENTRAL,13 CONDOS - ELEVATOR APARTMENTS            ,2,1916,1271, ,R4,171 WEST 131 STREET,514,10027,1,0,1, -  , -  ,2013,699537,5337
3,BRIGHTON BEACH,13 CONDOS - ELEVATOR APARTMENTS            ,2,7260,1512, ,R4,2833 OCEAN PARKWAY,B6,11235,1,0,1,0,0,2009,635000,30366
3,WILLIAMSBURG-EAST,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,3023,1205, ,R1,52 TEN EYCK STREET,3A,11206,1,0,1,0,0,0,907000,48162
3,GRAVESEND,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,6667,1012, ,R1,1838 WEST 13TH   STREET,3B,11223,1,0,1,0,0,2005,525000,40555
2,CITY ISLAND,04 TAX CLASS 1 CONDOS                      ,1A,5643,1124, ,R3,41 ISLAND POINT,49,10464,1,0,1,0,0,2016,558001,19687
5,NEW DORP,02 TWO FAMILY DWELLINGS                    ,1,4226,58, ,B2,363 ROSS AVENUE, ,10306,2,0,2,4000,1281,1950,311000,80483
5,MARINERS HARBOR,01 ONE FAMILY DWELLINGS                    ,1,1172,110, ,A5,10 WALKER DRIVE, ,10303,1,0,1,1208,935,1990,85000,79537
1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1842,1048, ,R4,467 CENTRAL PARK WEST,7G,10025,1,0,1, -  , -  ,1929,685000,7221
1,MIDTOWN WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,1269,1113, ,R4,15 WEST 53RD STREET,24D,10019,1,0,1, -  , -  ,1982,3000000,9529
4,HOLLIS,01 ONE FAMILY DWELLINGS                    ,1,10562,47, ,A1,91-26 211TH   STREET, ,11428,1,0,1,2800,1344,1925,338333,62465
3,FLATBUSH-EAST,33 EDUCATIONAL FACILITIES                  ,4,4960,40, ,W3,4321 AVENUE D, ,11203,0,1,1,1800,2100,1933,590000,38535
4,ASTORIA,02 TWO FAMILY DWELLINGS                    ,1,832,23, ,B2,22-19 33RD   STREET, ,11105,2,0,2,5000,1408,1906,1800000,49919
3,CANARSIE,02 TWO FAMILY DWELLINGS                    ,1,8234,25, ,B9,10548 FLATLANDS 2 STREET, ,11236,2,0,2,2000,3220,1960,800000,32595
4,FLUSHING-NORTH,02 TWO FAMILY DWELLINGS                    ,1,5420,37, ,B3,43-12 163RD   STREET, ,11358,2,0,2,3000,1840,1910,975000,57027
1,MIDTOWN EAST,10 COOPS - ELEVATOR APARTMENTS             ,2,1333,1, ,D4,"305 EAST 40TH STREET, 18A", ,10016,0,0,0, -  , -  ,1963,460000,7640
3,GRAVESEND,02 TWO FAMILY DWELLINGS                    ,1,7081,83, ,B3,1913 WEST 8TH   STREET, ,11223,2,0,2,1650,1242,1930,419000,40164
4,KEW GARDENS,01 ONE FAMILY DWELLINGS                    ,1,9235,5, ,A1,119-08 84TH   AVENUE, ,11415,1,0,1,5056,2531,1925,800000,65158
4,FLUSHING-NORTH,13 CONDOS - ELEVATOR APARTMENTS            ,2,5066,1731, ,R4,131-05 40TH   ROAD,10A,11354,1,0,1, -  , -  ,2015,908521,58300
2,BRONXDALE,22 STORE BUILDINGS                         ,4,4568,27, ,K1,700-708 BURKE AVENUE, ,10467,0,6,6,5000,5000,1930,2460000,19424
4,HOLLIS,02 TWO FAMILY DWELLINGS                    ,1,10836,92, ,B3,98-31 211TH   STREET, ,11429,2,0,2,1600,1600,1925,210000,62683
4,SOUTH OZONE PARK,01 ONE FAMILY DWELLINGS                    ,1,11758,12, ,A1,122-67 134TH   STREET, ,11420,1,0,1,2983,1768,1920,389672,73033
4,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS                    ,1,12332,113, ,A1,114-45 168TH STREET, ,11434,1,0,1,3000,1216,1935,210000,71993
4,ASTORIA,13 CONDOS - ELEVATOR APARTMENTS            ,2,642,1008, ,R4,34-32 35TH   STREET,3B,11106,1,0,1, -  , -  ,2015,710738,50473
3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS                    ,1,1818,82, ,B3,231 MADISON STREET, ,11216,2,0,2,1350,2324,1910,1550000,26891
1,HARLEM-CENTRAL,10 COOPS - ELEVATOR APARTMENTS             ,2,1824,14, ,D4,"80 ST NICHOLAS AVENUE, 2B", ,10026,0,0,0, -  , -  ,1921,300000,5060
3,CANARSIE,29 COMMERCIAL GARAGES                      ,4,7961,70, ,G7,538 EAST 83RD   STREET, ,11236,0,0,0,4000,0,0,325000,32868
3,SUNSET PARK,02 TWO FAMILY DWELLINGS                    ,1,5792,67, ,B9,521 62ND STREET, ,11220,2,0,2,2000,2710,1910,162500,47145
1,MURRAY HILL,13 CONDOS - ELEVATOR APARTMENTS            ,2,869,1135, ,R4,445 5 AVENUE,26G,10016,1,0,1, -  , -  ,0,896000,10305
3,MILL BASIN,01 ONE FAMILY DWELLINGS                    ,1,8616,87, ,A3,11 WHITMAN DRIVE, ,11234,1,0,1,4050,3115,1955,1325000,42667
3,PROSPECT HEIGHTS,13 CONDOS - ELEVATOR APARTMENTS            ,2,1128,1063, ,R4,535 DEAN STREET,412,11217,1,0,1,0,0,0,1060000,45469
4,RICHMOND HILL,01 ONE FAMILY DWELLINGS                    ,1,9297,90, ,A5,87-14 108TH STREET, ,11418,1,0,1,1621,1182,1920,415000,69984
3,KENSINGTON,02 TWO FAMILY DWELLINGS                    ,1,5328,69, ,B3,243 EAST 5TH   STREET, ,11218,2,0,2,3000,1924,1925,1450000,41130
5,CASTLETON CORNERS,01 ONE FAMILY DWELLINGS                    ,1,345,3, ,A1,32 ELLSWORTH PLACE, ,10314,1,0,1,5000,1734,1935,610000,77106
2,BEDFORD PARK/NORWOOD,02 TWO FAMILY DWELLINGS                    ,1,3301,98, ,B3,2765 BRIGGS AVENUE, ,10458,2,0,2,1882,2556,1901,625000,18845
5,NEW DORP,02 TWO FAMILY DWELLINGS                    ,1,4031,66, ,B2,84 MILL ROAD, ,10306,2,0,2,4619,3891,2016,865512,80461
5,GREAT KILLS-BAY TERRACE,01 ONE FAMILY DWELLINGS                    ,1,4698,71, ,A5,2001 NORTH RAILROAD AVE, ,10306,1,0,1,2625,1248,1965,493000,79057
4,MIDDLE VILLAGE,02 TWO FAMILY DWELLINGS                    ,1,3783,63, ,B2,79-19 68TH   ROAD, ,11379,2,0,2,2400,2120,1930,740000,67456
4,FLUSHING-NORTH,13 CONDOS - ELEVATOR APARTMENTS            ,2,5066,1864, ,R4,131-05 40TH   ROAD,18U,11354,1,0,1, -  , -  ,2015,943141,58424
1,UPPER WEST SIDE (96-116),10 COOPS - ELEVATOR APARTMENTS             ,2,1888,67, ,D4,"801 WEST END AVENUE, 7B", ,10025,0,0,0, -  , -  ,1940,2000000,17645
4,MIDDLE VILLAGE,10 COOPS - ELEVATOR APARTMENTS             ,2,2874,55, ,D4,"86-05 60TH ROAD, 6A", ,11373,0,0,0, -  , -  ,1964,205000,67551
4,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS             ,2,2219,1, ,D4,"69-09 108TH STREET, 212", ,11375,0,0,0, -  , -  ,1939,280000,60675
2,PARKCHESTER,13 CONDOS - ELEVATOR APARTMENTS            ,2,3944,4413, ,R4,1527 METROPOLITAN AVENUE,2C,10462,1,0,1,0,0,0,10,22290
5,MIDLAND BEACH,02 TWO FAMILY DWELLINGS                    ,1,3380,6, ,B2,383 LIBERTY AVENUE, ,10305,2,0,2,7500,2372,1930,690000,79998
5,TOTTENVILLE,01 ONE FAMILY DWELLINGS                    ,1,7863,173, ,A5,20 SEA CREST LANE, ,10307,1,0,1,574,756,1990,305000,83281
3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS                  ,1,3929,22, ,C0,101 SHEPHERD AVENUE, ,11208,3,0,3,2037,1400,1910,740000,35056
4,FLUSHING-NORTH,10 COOPS - ELEVATOR APARTMENTS             ,2,4374,35, ,D4,31-50 140TH   STREET, ,11354,136,0,136,74923,176611,1957,133390,57412
4,ST. ALBANS,02 TWO FAMILY DWELLINGS                    ,1,11032,22, ,B3,191-34 115TH AVENUE, ,11412,2,0,2,4000,1584,1925,699000,74408
1,MIDTOWN WEST,45 CONDO HOTELS                            ,4,1006,1302, ,RH,1335 AVENUE OF THE AMERIC,TIMES,10019,0,0,1, -  , -  ,1963,138750,9735
4,ELMHURST,09 COOPS - WALKUP APARTMENTS               ,2,1304,49, ,C6,"40-16 73RD STREET, B1", ,11377,0,0,0, -  , -  ,1926,200000,55052
2,MORRIS PARK/VAN NEST,02 TWO FAMILY DWELLINGS                    ,1,4100,15, ,B3,1649 LURTING AVENUE, ,10461,2,0,2,2500,2200,1945,460000,21129
4,FLUSHING-NORTH,10 COOPS - ELEVATOR APARTMENTS             ,2,5051,20, ,D4,"144-41 SANFORD AVENUE, 5E", ,11355,0,0,0, -  , -  ,1951,270000,57611
4,BAYSIDE,10 COOPS - ELEVATOR APARTMENTS             ,2,5878,75, ,D4,"209-20 18TH   AVENUE, 2E", ,11360,0,0,0, -  , -  ,1960,145000,51752
4,ST. ALBANS,01 ONE FAMILY DWELLINGS                    ,1,10933,55, ,A1,109-35 196TH STREET, ,11412,1,0,1,6000,2384,1920,560000,74030
3,GERRITSEN BEACH,01 ONE FAMILY DWELLINGS                    ,1,8900,910, ,A1,58 ABBEY COURT, ,11229,1,0,1,1800,1656,1925,590000,39628
4,LONG ISLAND CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,16,1145, ,R4,50-09 2ND STREET,908,11101,1,0,1, -  , -  ,1890,10,66284
4,JAMAICA,30 WAREHOUSES                              ,4,10095,71, ,E1,94-15 150TH   STREET, ,11435,0,1,1,12000,11500,1960,1325000,64822
1,MIDTOWN WEST,17 CONDO COOPS                             ,2,1048,3003, ,R9,"333 WEST 57TH, 201", ,10019,0,0,0, -  , -  ,0,892000,9590
4,FLUSHING-NORTH,13 CONDOS - ELEVATOR APARTMENTS            ,2,5066,1808, ,R4,131-05 40TH   ROAD,15U,11354,1,0,1, -  , -  ,2015,922267,58373
1,MIDTOWN EAST,10 COOPS - ELEVATOR APARTMENTS             ,2,1338,5, ,D4,"310 EAST 46TH STREET, 8M", ,10017,0,0,0, -  , -  ,1929,775000,7809
4,FLUSHING-NORTH,10 COOPS - ELEVATOR APARTMENTS             ,2,5050,31, ,D4,"144-70 41ST AVE, 1H2H", ,11355,0,0,0, -  , -  ,1962,370000,57591
1,HARLEM-UPPER,37 RELIGIOUS FACILITIES                    ,1,2074,119, ,B1,513 WEST 142ND STREET, ,10031,2,1,2,1599,3516,1926,2890000,6128
3,BATH BEACH,04 TAX CLASS 1 CONDOS                      ,1A,6412,1015, ,R3,2120 BENSON AVENUE,3C,11214,1,0,1,0,0,2006,550000,25548
1,MURRAY HILL,10 COOPS - ELEVATOR APARTMENTS             ,2,916,55, ,D4,"210 EAST 36TH STREET, 10J", ,10016,0,0,0, -  , -  ,1960,383000,10140
4,REGO PARK,13 CONDOS - ELEVATOR APARTMENTS            ,2,2082,1321, ,R4,62-54 97TH   PLACE,14F,11374,1,0,1, -  , -  ,1987,368000,69762
3,SHEEPSHEAD BAY,01 ONE FAMILY DWELLINGS                    ,1,8796,167, ,A2,2844 HARING, ,11235,1,0,1,1076,612,1920,500000,45946
3,EAST NEW YORK,02 TWO FAMILY DWELLINGS                    ,1,4173,30, ,B2,321 LINCOLN AVENUE, ,11208,2,0,2,2277,1998,1920,535000,36555
4,MASPETH,01 ONE FAMILY DWELLINGS                    ,1,2774,64, ,A5,57-28 BROWN PLACE, ,11378,1,0,1,1675,406,1930,422000,66807
4,LONG ISLAND CITY,10 COOPS - ELEVATOR APARTMENTS             ,2,18,1, ,D4,"4-74 48TH AVENUE, 33F", ,11109,0,0,0, -  , -  ,1996,670000,66242
4,MIDDLE VILLAGE,12 CONDOS - WALKUP APARTMENTS              ,2,3055,1192, ,R2,71-49 METROPOLITAN AVENUE,5G,11379,1,0,1, -  , -  ,0,365000,67559
4,HOLLIS,01 ONE FAMILY DWELLINGS                    ,1,10490,5, ,A1,89-43 202 STREET, ,11423,1,0,1,2300,1056,1925,560000,62413
5,SOUTH BEACH,02 TWO FAMILY DWELLINGS                    ,1,3120,8, ,B2,37 WINDOM AVENUE, ,10305,2,0,2,5000,2650,1925,400000,82818
3,MARINE PARK,01 ONE FAMILY DWELLINGS                    ,1,8505,19, ,A5,1951 EAST 38TH STREET, ,11234,1,0,1,2000,1376,1930,685000,41934
4,BAYSIDE,10 COOPS - ELEVATOR APARTMENTS             ,2,5938,3, ,D4,"17-85 215TH STREET, 7N", ,11360,0,0,0, -  , -  ,1969,550000,51766
1,FINANCIAL,13 CONDOS - ELEVATOR APARTMENTS            ,2,26,1186, ,R4,15 BROAD STREET,2222,10005,1,0,1, -  , -  ,1914,925000,2361
1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1564,47, ,D4,"400 EAST 85TH STREET, 10B", ,10028,0,0,0, -  , -  ,1962,450000,14193
2,THROGS NECK,02 TWO FAMILY DWELLINGS                    ,1,5577,79, ,B1,2858 SAMPSON AVE, ,10465,2,0,2,2500,1617,2006,625000,24334
4,BAYSIDE,10 COOPS - ELEVATOR APARTMENTS             ,2,5878,50, ,D4,"18-35 CORP KENNEDY STREET, 2J", ,11360,0,0,0, -  , -  ,1961,206500,51751
3,FORT GREENE,10 COOPS - ELEVATOR APARTMENTS             ,2,2068,1, ,D4,"130 ST EDWARDS STREET, 14B", ,11201,0,0,0,0,0,1957,710500,39510
5,WESTERLEIGH,01 ONE FAMILY DWELLINGS                    ,1,411,14, ,A0,177 DICKIE AVENUE, ,10314,1,0,1,3240,840,1945,550000,83940
5,GREAT KILLS,01 ONE FAMILY DWELLINGS                    ,1,4466,24, ,A5,17 KNIGHT LOOP, ,10306,1,0,1,1410,1250,2002,385000,78292
2,KINGSBRIDGE/JEROME PARK,10 COOPS - ELEVATOR APARTMENTS             ,2,5764,642, ,D4,"3475 GREYSTONE AVE, 6D", ,10463,0,0,0,0,0,1957,156000,20717
4,FAR ROCKAWAY,01 ONE FAMILY DWELLINGS                    ,1,15622,85, ,A6,321 BEACH 13TH STREET, ,11691,1,0,1,2036,512,1925,46000,55463
4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS                    ,1,13040,12, ,B3,140-16 183RD   STREET, ,11413,2,0,2,1916,1800,1950,430000,73817
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4897,6, ,A5,1271 E 222, ,10469,1,0,1,2642,1690,1950,420000,18465
5,NEW DORP-HEIGHTS,05 TAX CLASS 1 VACANT LAND                 ,1B,952,204, ,V0,NEVADA AVENUE, ,10306,0,0,0,2754, -  ,0,10,80739
3,OCEAN HILL,02 TWO FAMILY DWELLINGS                    ,1,1513,120, ,B1,290 CHAUNCEY STREET, ,11233,2,0,2,2100,2100,2002,765300,42897
2,PARKCHESTER,13 CONDOS - ELEVATOR APARTMENTS            ,2,3944,2240, ,R4,1970 EAST TREMONT AVENUE,6F,10462,1,0,1,0,0,0,205000,22210
1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,907,56, ,D4,"200 EAST 27TH STREET, 12A", ,10016,0,0,0, -  , -  ,1965,495000,3361
3,BROOKLYN HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,2,225,20, ,D9,35 PINEAPPLE STREET,14,11201,14,1,15,2545,11842,1900,10300000,30710
4,ST. ALBANS,01 ONE FAMILY DWELLINGS                    ,1,10968,128, ,A1,190-50 112TH AVENUE, ,11412,1,0,1,3300,1520,1930,480000,74078
4,ASTORIA,02 TWO FAMILY DWELLINGS                    ,1,890,64, ,B3,19-20 23RD   ROAD, ,11105,2,0,2,2000,1590,1920,75000,49987
5,RICHMONDTOWN,01 ONE FAMILY DWELLINGS                    ,1,4419,123, ,A2,204 AMBER STREET, ,10306,1,0,1,4000,1056,1955,557500,82070
3,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS                    ,1,7927,16, ,A9,847 EAST 51ST STREET, ,11203,1,0,1,2000,1274,1940,440000,38029
4,FAR ROCKAWAY,05 TAX CLASS 1 VACANT LAND                 ,1B,15817,89, ,V0,BEACH 25 STREET, ,11691,0,0,0,2450, -  ,0,1700000,55752
3,OCEAN PARKWAY-NORTH,10 COOPS - ELEVATOR APARTMENTS             ,2,5374,10, ,D4,"350 OCEAN PKWY, 1K", ,11218,0,0,0,0,0,1962,440000,43543
4,OZONE PARK,02 TWO FAMILY DWELLINGS                    ,1,9008,15, ,B3,95-18 81 STREET, ,11416,2,0,2,2500,1420,1925,550000,68231
3,SUNSET PARK,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,810,1105, ,R1,733 53RD   STREET,2B,11220,1,0,1,0,0,2014,499000,47448
4,ELMHURST,10 COOPS - ELEVATOR APARTMENTS             ,2,1527,1, ,D4,"81-11 45TH AVENUE, 2O", ,11373,0,0,0, -  , -  ,1961,219000,55108
4,WHITESTONE,01 ONE FAMILY DWELLINGS                    ,1,4640,61, ,A1,23-15 PARSONS BOULEVARD, ,11357,1,0,1,4685,1495,1930,889000,74960
1,GREENWICH VILLAGE-WEST,09 COOPS - WALKUP APARTMENTS               ,2,640,64, ,C6,"20 BETHUNE STREET, 2C", ,10014,0,0,0, -  , -  ,1920,905519,4307
4,REGO PARK,17 CONDO COOPS                             ,2,2118,1003, ,R9,"99-32 66TH   ROAD, 7W", ,11374,0,0,0, -  , -  ,0,335000,69899
3,CYPRESS HILLS,07 RENTALS - WALKUP APARTMENTS             ,2A,4112,43, ,C3,7 GRANT AVENUE, ,11208,4,0,4,2500,3000,1915,940000,35126
1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1395,50, ,D4,"150 EAST 61ST STREET, 9G", ,10065,0,0,0, -  , -  ,1960,1210000,12017
5,TOTTENVILLE,01 ONE FAMILY DWELLINGS                    ,1,7812,105, ,A3,184 BEDELL AVENUE, ,10307,1,0,1,9904,3900,1989,930000,83255
3,DOWNTOWN-FULTON MALL,13 CONDOS - ELEVATOR APARTMENTS            ,2,269,1239, ,R4,110 LIVINGSTON STREET,14N,11201,1,0,1,0,0,0,1425000,35656
1,HARLEM-CENTRAL,13 CONDOS - ELEVATOR APARTMENTS            ,2,1916,1318, ,R4,171 WEST 131 STREET,PH19,10027,1,0,1, -  , -  ,2013,476580,5380
3,BROWNSVILLE,02 TWO FAMILY DWELLINGS                    ,1,3627,16, ,B1,485 THATFORD AVE, ,11212,2,0,2,2400,1900,1930,370000,31192
5,NEW BRIGHTON-ST. GEORGE,10 COOPS - ELEVATOR APARTMENTS             ,2,1,216, ,D0,"20 BAY STREET LANDING, B1I", ,10301,0,0,0, -  , -  ,1984,350000,80318
4,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS                    ,1,2842,55, ,A5,60-65 71ST   STREET, ,11378,1,0,1,1800,1192,1945,730000,67125
3,EAST NEW YORK,01 ONE FAMILY DWELLINGS                    ,1,4333,48, ,A1,731 JEROME STREET, ,11207,1,0,1,2000,1036,1925,328600,36326
1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            , ,1497,1204, , ,60 EAST 86TH   STREET, ,0,0,0,0, -  , -  ,0,9164250,14394
4,REGO PARK,10 COOPS - ELEVATOR APARTMENTS             ,2,2082,107, ,D4,"6115 97TH ST, 7J", ,11374,0,0,0, -  , -  ,1960,350000,69417
3,SUNSET PARK,07 RENTALS - WALKUP APARTMENTS             ,2A,840,31, ,C2,560 56TH   STREET, ,11220,6,0,6,2671,4398,1931,130000,47303
1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1506,3, ,D4,"1133 FIFTH AVENUE, SVT2", ,10128,0,0,0, -  , -  ,1928,500000,13740
